
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Sales [Item Spreadsheet]

April 2020 through March 2020
21/03/2020	Page 1
7:05:24 am
Item No.	Item Name	April	May	June	July	August	September	October	November	December	January	February	March	Total
MET145	Lavande Metal Pot S/3 in Tray	3	8	9	7	1	7	0	2	7	2	1	2	49
MET146	Jardin Metal Pot S/3 in Tray	2	0	5	0	0	0	0	4	0	6	0	2	19
MET149	Floral Oval Metal Pots Set/3	10	6	7	0	3	4	1	12	0	3	2	7	55
MET150	Jardin Oval Metal Pots Set/3	0	1	8	0	0	4	1	6	0	2	0	2	24
MET151	Lavande Metal Watering Can	2	14	8	2	4	1	3	6	0	0	11	4	55
MET152	Lavende Metal Watering Can	2	6	4	4	0	7	9	1	0	1	12	14	60
MET153	Better Life Metal Watering Can	1	4	2	0	5	6	1	2	1	-1	23	4	48
MET37BL	Bue Oval Metal Bucket	0	1	0	0	0	0	0	0	0	0	0	0	1
MET46BL	Blue Metal Bucket w/Handles	0	1	0	0	0	0	0	0	0	0	0	0	1
MET47BL	Blue Metal Bucket w/Handles	0	21	0	0	0	0	0	0	0	0	0	0	21
MET60BK	Black Metal Pot Set/3 in Tray	0	0	0	4	3	4	2	3	0	7	2	2	27
MET60MO	Moss Metal Pot Set/3 in Tray	0	4	0	1	0	2	2	2	0	4	0	2	17
MET60WH	White Metal Pot Set/3 in Tray	1	4	0	5	0	5	2	2	0	3	0	0	22
MET62BK	Metal Rectangle Tub Black	0	0	12	0	0	1	15	0	0	1	2	0	31
MET62MO	Metal Rectangle Tub Moss	0	0	0	0	0	1	0	2	0	0	0	4	7
MET62WH	Metal Rectangle Tub White	3	2	0	0	3	0	1	0	0	0	0	0	9
MET63	Jardin Metal Pitcher 23cmH	0	0	0	2	8	0	15	7	0	4	4	1	41
MET64	Jardin Metal Jug 14cmH	1	1	0	1	3	2	2	1	2	2	5	10	30
MET65	Jardin Metal Round Bucket	12	0	0	0	1	0	0	1	0	11	0	0	25
MET66	Jardin Metal Rectangle Bucket	6	0	7	3	0	3	18	1	2	2	8	23	73
MET67	Vintage White Metal Bucket	10	0	0	0	0	0	0	0	0	0	0	0	10
MET68	Vintage White Metal Jug 31.5cm	2	8	10	6	3	8	29	5	0	0	0	0	71
MET69	Green Metal Square Bucket 15cm	16	28	28	6	10	10	18	2	10	24	19	24	195
MET70	Green Metal Rectangle Bucket	1	0	1	6	11	14	20	2	2	42	7	0	106
