
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Inventory [Summary]
16/04/2020,Page 1
4:06:25 pm
Item No.,Item Name,On Hand,Committed,On Order,Available
2199944CR,Ribbon Vintage Flowers Cream,40,0,0,40
2199944LA,Ribbon Vintage Flower Lavender,22,0,0,22
2199944LAPI,Ribbon Vintage Flower Lav/Pk,63,0,0,63
2199944MI,Ribbon Vintage Flowers Mint,58,0,0,58
221000,9in Silver Heart Balloon,99,0,0,99
223001,9in RED HEART BALLOON,"3,440",0,0,"3,440"
224001,12in Someone Special Heart,23,0,0,23
224003,9in To Mum Floral Balloon,600,0,0,600
224006,9in I Love You Prism Heart,91,0,0,91
224007,9in I Love You White Lace,205,0,0,205
224012,9in Love Squares Balloon,113,0,0,113
224015,9in Pink Smiley Heart Balloon,210,0,0,210
224020,9in HMD Jewel Flowers Balloon,298,0,0,298
224022,9in Clear Confetti Heart,197,0,0,197
224024V,9in I Love You Fireworks,37,0,0,37
224028,9in Pink Hearts Clear Balloon,91,0,0,91
224029,9in HMD Day Curly Flowers,"2,827",0,0,"2,827"
224035,14in Graphic Flowers Heart,133,0,0,133
224036,9in Get Well Hug Balloon,187,0,0,187
224041,9in I Love You Script Balloon,392,0,0,392
224071,9in Red with White Polka Dots,134,0,0,134
224075,9in Emoticon Luv Red Balloon,124,0,0,124
224077,9in HMD Flowers & Dots,309,0,0,309
224078,9in Happy Mothers Day Bursting,642,0,0,642
224121,9in I Love You Gradient Hearts,100,0,0,100
224146,9in Thinking of You Floral,150,0,0,150
224176,9in Smiley Kissy Face Balloon,406,0,0,406
224233,9in You're So Special Flowers,"2,989",0,0,"2,989"
224236,9in Get Well Daisies & Tulips,162,0,0,162
224304,9in YSS Butterflies Balloon,200,0,0,200
224327,9in GET WELL STRIPES & DAISIES,187,0,0,187
224389,9in KISS ME BALLOON,54,0,0,54
224396,9in Red & White Daisies,48,0,0,48
224564,9in Baby Girl Patchwork,86,0,0,86
2305RE,Gift Box Square Set of 4 Red,40,0,0,40
2305RWH,Flower Box Round White S/5,29,0,0,29
2305SWH,Gift Box Square Set of 5 White,17,0,0,17
2305WH,Gift Box Square Set of 4 White,17,0,0,17
2307RBK,Flower Box Round Black S/7,4,0,0,4
2307RWH,Flower Box Round White S/7,56,0,0,56
2308.002,Gift Box Square Set of 3 White,12,0,0,12
2310.807,Box Chevron Square Set/3 Pink,1,0,0,1
